,重点符号,序号,英文原型,词性,中文释义,音标
0,,,thanksgiving,,,[ˌθæŋksˈɡɪvɪŋ]
0,,,thanks,,,[θæŋks]
0,,,that,,,"[ðæt , ðət]"
0,,,thankful,,,[ˈθæŋkfl]
0,,,seem,,,[siːm]
0,,,seek,,,[siːk]
0,,,weekly,,,[ˈwiːkli]
0,,,weekend,,,[ˌwiːkˈend]
0,,,surfing,,,[ˈsɜːfɪŋ]
0,,,spade,,,[speɪd]
0,,,surf,,,[sɜːf]
0,,,surfer,,,[ˈsɜːfə(r)]
0,,,spacecraft,,,[ˈspeɪskrɑːft]
0,,,ghost,,,[ɡəʊst]
0,,,pot,,,[pɒt]
0,,,postal,,,[ˈpəʊstl]
0,,,costume,,,[ˈkɒstjuːm]
0,,,poster,,,[ˈpəʊstə(r)]
0,,,chain,,,[tʃeɪn]
0,,,haircut,,,[ˈheəkʌt]
0,,,fell,,,[fel]
0,,,lamp,,,[læmp]
0,,,ninth,,,[naɪnθ]
0,,,nineteen,,,[ˌnaɪnˈtiːn]
0,,,nine,,,[naɪn]
0,,,ninety,,,[ˈnaɪnti]
0,,,define,,,[dɪˈfaɪn]
0,,,daisy,,,[ˈdeɪzi]
0,,,whose,,,[huːz]
0,,,dull,,,[dʌl]
0,,,poll,,,[pəʊl]
0,,,pollute,,,[pəˈluːt]
0,,,fuel,,,[ˈfjuːəl]
0,,,polluted,,,[pəˈluːtɪd]
0,,,bored,,,[bɔːd]
0,,,castle,,,[ˈkɑːsl]
0,,,vast,,,[vɑːst]
0,,,vase,,,[vɑːz]
0,,,base,,,[beɪs]
0,,,timetable,,,[ˈtaɪmteɪbl]
0,,,toe,,,[təʊ]
0,,,dime,,,[daɪm]
0,,,dim,,,[dɪm]
0,,,trainer,,,[ˈtreɪnə(r)]
0,,,rail,,,[reɪl]
0,,,rainfall,,,[ˈreɪnfɔːl]
0,,,seed,,,[siːd]
0,,,peel,,,[piːl]
0,,,freestyle,,,[ˈfriːstaɪl]
0,,,reef,,,[riːf]
0,,,freezing,,,[ˈfriːzɪŋ]
0,,,plaster,,,[ˈplɑːstə(r)]
0,,,paste,,,[peɪst]
0,,,printer,,,[ˈprɪntə(r)]
0,,,prince,,,[prɪns]
0,,,province,,,[ˈprɒvɪns]
0,,,folk,,,[fəʊk]
